ts,iso,open,high,low,close,vol
1748097000000,2025-05-24T14:30:00.000Z,2549.88,2557.54,2547.46,2554.01,434.4141257
1748097900000,2025-05-24T14:45:00.000Z,2554.02,2561.27,2554.02,2558.88,540.4582142
1748098800000,2025-05-24T15:00:00.000Z,2558.59,2564.49,2555.67,2560.74,560.8556425
1748099700000,2025-05-24T15:15:00.000Z,2560.74,2560.97,2553.58,2555.86,441.2797095
1748100600000,2025-05-24T15:30:00.000Z,2555.87,2557.83,2550.31,2551.15,396.0443694
1748101500000,2025-05-24T15:45:00.000Z,2551.16,2555.8,2549.77,2555.62,390.2138104
1748102400000,2025-05-24T16:00:00.000Z,2555.62,2556.17,2546.69,2549.38,344.541945
1748103300000,2025-05-24T16:15:00.000Z,2549.21,2552.54,2543.47,2550.47,391.9451139
1748104200000,2025-05-24T16:30:00.000Z,2549.73,2554.89,2549.09,2554.8,339.3772594
1748105100000,2025-05-24T16:45:00.000Z,2554.81,2561.96,2552.15,2557.22,418.36119264
1748106000000,2025-05-24T17:00:00.000Z,2557.26,2564.49,2557.26,2562.69,337.1144405
1748106900000,2025-05-24T17:15:00.000Z,2562.68,2563.51,2555.58,2558.81,436.4794204
1748107800000,2025-05-24T17:30:00.000Z,2558.81,2562.97,2555.39,2561.04,223.50361205
1748108700000,2025-05-24T17:45:00.000Z,2561.02,2563.11,2557.86,2557.86,118.6072556
1748109600000,2025-05-24T18:00:00.000Z,2557.37,2562.88,2556.95,2562.57,248.8818667
1748110500000,2025-05-24T18:15:00.000Z,2562.46,2567.19,2560.78,2561.01,243.4236041
1748111400000,2025-05-24T18:30:00.000Z,2561.02,2561.26,2556.19,2557.94,239.3752399
1748112300000,2025-05-24T18:45:00.000Z,2557.94,2557.94,2545.1,2549.54,550.8653642
1748113200000,2025-05-24T19:00:00.000Z,2549.54,2553.94,2546.28,2549.32,527.1206108
1748114100000,2025-05-24T19:15:00.000Z,2549.56,2552.41,2548.89,2551.22,233.0241517
1748115000000,2025-05-24T19:30:00.000Z,2551.39,2555.54,2549.29,2552.08,189.2899319
1748115900000,2025-05-24T19:45:00.000Z,2552.08,2555.17,2548.84,2554.37,363.3034078
1748116800000,2025-05-24T20:00:00.000Z,2554.39,2554.72,2549.64,2554.12,175.8836359
1748117700000,2025-05-24T20:15:00.000Z,2554.15,2555.27,2550.41,2553.16,195.6245342
1748118600000,2025-05-24T20:30:00.000Z,2553.15,2556.44,2552.41,2552.98,252.4185751
1748119500000,2025-05-24T20:45:00.000Z,2552.97,2554.3,2550.42,2552.22,216.9594116
1748120400000,2025-05-24T21:00:00.000Z,2552.36,2552.8,2546.53,2547.97,372.1096845
1748121300000,2025-05-24T21:15:00.000Z,2547.97,2548.54,2520.01,2536.2,1787.60972633
1748122200000,2025-05-24T21:30:00.000Z,2536.33,2541.8,2532.9,2536.07,530.5354163
1748123100000,2025-05-24T21:45:00.000Z,2536.07,2543.02,2530.38,2540.34,261.8855985
1748124000000,2025-05-24T22:00:00.000Z,2540.33,2540.34,2527.96,2534.31,381.5845285
1748124900000,2025-05-24T22:15:00.000Z,2534.2,2535.93,2526.62,2532.07,421.9936105
1748125800000,2025-05-24T22:30:00.000Z,2531.88,2537.23,2525.55,2533.47,802.94949018
1748126700000,2025-05-24T22:45:00.000Z,2533.78,2535.18,2521.76,2524.94,500.1798227
1748127600000,2025-05-24T23:00:00.000Z,2525.45,2529.42,2517.65,2528.62,1006.2634083
1748128500000,2025-05-24T23:15:00.000Z,2529.11,2534.91,2523.46,2529.58,814.58321622
1748129400000,2025-05-24T23:30:00.000Z,2530.09,2533.23,2525.28,2525.67,666.9784917
1748130300000,2025-05-24T23:45:00.000Z,2525.68,2532.69,2522.01,2530.25,596.1416133
1748131200000,2025-05-25T00:00:00.000Z,2530.4,2539.35,2529.33,2533.72,761.50909
1748132100000,2025-05-25T00:15:00.000Z,2533.36,2536.34,2527.33,2535.09,350.1776338
1748133000000,2025-05-25T00:30:00.000Z,2535.27,2538.37,2482.21,2495.78,2551.7154656
1748133900000,2025-05-25T00:45:00.000Z,2495.74,2501.26,2475.56,2486.48,1976.0281481
1748134800000,2025-05-25T01:00:00.000Z,2486.83,2493.95,2479.31,2487.58,1145.6651182
1748135700000,2025-05-25T01:15:00.000Z,2487.57,2501.57,2480.47,2497.19,1150.8025036
1748136600000,2025-05-25T01:30:00.000Z,2498.09,2503.76,2492.83,2503.66,947.0233063
1748137500000,2025-05-25T01:45:00.000Z,2503.66,2503.66,2494.57,2495.84,667.0465044
1748138400000,2025-05-25T02:00:00.000Z,2495.84,2500.72,2489.03,2492.83,660.9904495
1748139300000,2025-05-25T02:15:00.000Z,2492.79,2502.81,2486.23,2499.22,897.803276
1748140200000,2025-05-25T02:30:00.000Z,2499.22,2509.39,2499,2500.98,600.0685925
